job_id,company_name,title,description,location,company_id,views,skills_desc,work_type,zip_code,fips,city,state
3903466306,bass pro shops,outdoor equipment specialist - part time,"position summary:

the outdoor equipment specialist is responsible for assisting customers with their outdoor gear needs, focusing on camping and hiking products. this role involves providing exceptional customer service, handling sales transactions, and maintaining product displays. the specialist will engage with customers to understand their requirements, offer suitable product recommendations, and ensure the sales area is well-organized.

essential functions:

commits to delivering outstanding customer experiences by actively engaging with customers and addressing their needs. assists customers in making informed purchasing decisions by providing detailed product information and demonstrating equipment use. maintains accurate inventory levels and assists in restocking merchandise according to company standards. stays updated on current sales promotions and product features. ensures a tidy and welcoming sales environment, adhering to safety and health regulations.

experience/qualifications:

minimum degree required: high school diploma or equivalentexperience: 0-3 years of experience in retail or outdoor salesmust be 18 years of age or older

knowledge, skills, and ability: 

knowledge of camping and hiking gearknowledge of customer service principlesability to effectively communicate with customers and team members

travel requirements:

n/a

physical requirements:

frequently stand and walk during shiftsoccasionally lift and carry items up to 30 poundsoccasionally operate retail equipment and toolsfrequently interact with customers and team members

independent judgement:

works under general supervision, following established protocols. occasionally exercises judgment to resolve customer inquiries and enhance service quality. may suggest improvements to processes and policies.

part time benefits summary:

enjoy discounts on outdoor gear, apparel, and dining at our locations!

dentalvision401k retirement planspaid time off and holidaysemployee assistance programs and more!

bass pro shops is an equal opportunity employer. we embrace diversity and make hiring decisions based on qualifications and merit.

reasonable accommodations

individuals with disabilities may request reasonable accommodations in accordance with the americans with disabilities act and relevant state laws.

for assistance during the application process, please visit your nearest store or reach out to hr@basspro.com.

bass pro shops","lubbock, tx",12891.0,10.0,"customer service, outdoor equipment knowledge",part_time,79401,48303,Lubbock,TX
5728391462,global legal services,executive assistant,"a prestigious law firm located in seattle, wa, is looking for an executive assistant to provide high-level administrative support to the firm's partners. the successful candidate will manage schedules, coordinate meetings, and facilitate communication within the organization. key responsibilities include organizing travel arrangements, preparing reports, and maintaining confidential information. the ideal applicant will have a strong background in administrative roles, particularly in a legal setting.

responsibilities:manage complex calendars and schedule meetings for senior executives.prepare and edit correspondence, reports, and presentations.assist in project management and tracking deadlines for various initiatives.maintain a filing system for sensitive documents and ensure compliance with legal standards.
requirements:bachelor's degree in business administration or related field preferred3+ years of experience as an executive or administrative assistant, preferably in a law firm.environmentstrong attention to detail, organizational skills, and the ability to handle multiple tasks effectively.excellent verbal and written communication skills, with a professional demeanor.proficiency in office software and experience with legal management systems preferred.",seattle-tacoma metro area,243561.0,45.0,"organizational skills, communication, legal software",full_time,98101,53033,seattle,WA
2891234567,home depot,inventory control manager,"we are seeking a dedicated inventory control manager (full-time) who will play a crucial role in optimizing our inventory processes and ensuring stock accuracy. if you have strong leadership skills and a background in retail inventory management, this position is made for you! you will contribute to our success by maintaining effective inventory systems and supporting your team in achieving operational excellence.

the expected hourly wage for this position is $28.00, based on your experience and qualifications. this role also qualifies for a performance-based bonus. we offer a range of benefits for our employees and their families, including health insurance, retirement plans, paid time off, and employee discounts. our associates can accrue up to 160 hours of paid time off annually, along with paid sick leave, as per legal requirements.

what sets us apart

inclusive workplaceflexible schedulinggenerous paid time offbonus eligibilityemployee discountscomprehensive health coverage401(k) with company matchadditional perks such as wellness programs and professional development opportunities.

key responsibilities:

oversee inventory management processes and accuracyanalyze inventory reports and implement improvementslead and mentor a team of inventory associatescommunicate effectively across departmentsensure compliance with safety and operational standardsperform other related duties as needed

qualifications:

must be at least 21 years old.2 years experience in inventory management or a related field.excellent communication skills, both verbal and written.physical ability to lift and move inventory up to 50 pounds, and stand for extended periods.ability to work varied hours, including evenings, weekends, and holidays. adherence to company policies and procedures is essential.","ontario, ca",45678.0,10.0,"inventory management, leadership, communication",full_time,91761,06071,Ontario,CA
3906097454,bmo u.s.,"senior manager, strategic initiatives","reporting to the director of strategic initiatives, you will collaborate with cross-functional teams to develop and implement financial strategies that drive growth and operational efficiency. you will create detailed financial analyses and models to evaluate potential investments and support decision-making processes. staying abreast of industry trends, you will provide actionable insights to enhance business performance and lead various projects aimed at improving organizational effectiveness. you will also cultivate relationships with key stakeholders to align on strategic goals and facilitate effective communication of initiatives across the organization.

responsibilities include managing the execution of strategic projects, providing expertise during mergers and acquisitions, and developing comprehensive reports that track performance metrics. you will identify market opportunities and challenges, recommending solutions to enhance competitive positioning. as a strategic advisor, you will mentor junior team members and contribute to a culture of continuous improvement and innovation within the organization.

qualifications:
minimum 7 years of experience in finance or strategic planning, with a bachelor’s degree in business or finance preferred. strong analytical, problem-solving, and communication skills are essential. proven ability to influence stakeholders and drive change in a complex environment. a master’s degree or relevant certification is a plus.

compensation and benefits:

$110,000.00 - $210,000.00

pay type:

salaried

your compensation will reflect your skills and experience, and may include performance incentives and comprehensive benefits including health insurance, retirement plans, and professional development opportunities.","chicago, il",164126.0,5.0,"financial analysis, strategic planning, project management",full_time,60601,17031,Chicago,IL
3903473958,university of central florida,building systems technician ii,"department number/name: 0-0450-002 / facilities management

college division: administrative services-facilities

salary plan: staff

job code/title: 9945 / building systems tech ii

hiring salary/salary range: $48,250

position number: 00003800

organizational summary:

ucf's facilities management team plays a vital role in maintaining the university's infrastructure to support academic excellence. we are committed to fostering a culture of service excellence through the development of our staff and the enhancement of campus facilities.

the building systems technician II is responsible for performing skilled maintenance tasks on a variety of systems including HVAC, plumbing, and electrical systems. this role includes troubleshooting, repairing, and maintaining equipment to ensure optimal performance across campus facilities.

position summary:

the building systems technician II may serve as a mentor to junior technicians and is tasked with routine inspections and preventive maintenance of building systems. the technician will work under the supervision of a facilities manager and is expected to demonstrate knowledge in various trades related to building systems. this position requires the ability to assess problems accurately and implement effective solutions while adhering to safety protocols. the technician must also be prepared to respond to emergency situations.

responsibilities:

conduct preventative maintenance checks on HVAC systems, plumbing fixtures, and electrical systems; perform repairs and replacements as necessary; document maintenance records and report issues to management; assist with the coordination of contractor activities during larger maintenance projects; participate in emergency response planning and execution.

position qualifications:

minimum:

high school diploma or equivalent; and two years of relevant building maintenance experience; relevant vocational training may be considered in lieu of experience. valid florida driver’s license required.

preferred:

high school diploma and four years of experience in building systems maintenance in a commercial setting. familiarity with building codes and regulations.

special skills/training:

team-oriented, proactive, and detail-oriented individual with strong communication skills. ability to operate hand and power tools safely and effectively. basic proficiency in using maintenance management software and ms office suite.

information for applicants:

this position is subject to a level 1 criminal background check.

job opening number: 37800

posting date: 04/20/2024

posting end date: 05/05/2024

how to apply

to apply, complete the online application process and upload your resume and cover letter detailing your relevant experience. applications will only be accepted electronically.

equal employment opportunity

ucf is an equal opportunity institution that promotes diversity and inclusivity in the workplace. we encourage individuals from diverse backgrounds to apply.","orlando, fl",166672.0,10.0,"HVAC, plumbing, electrical systems",full_time,32816,12095,Orlando,FL
5823098475,ingersoll rand,assembly technician - 2nd shift,"assembly technician

2nd shift mon-fri 4:00pm to 12:30am

starting pay is $22/hr, with potential increases based on skills and experience.

job summary

perform assembly tasks on various components and ensure that products meet quality standards. use hand tools and equipment to assemble parts, verify measurements, and maintain clean workstations. adhere to safety guidelines and operational procedures, and report any discrepancies in production.

responsibilities

 conduct quality checks on assembled products, documenting any defects. collaborate with team members to achieve production goals and deadlines. follow detailed assembly instructions and schematics. maintain a clean and organized workspace, adhering to 5S principles.

basic qualifications

 high school diploma or equivalent. 1 - 3 years of experience in manufacturing or assembly preferred. strong attention to detail.

travel & work arrangements/requirements

 fully site-based

key competencies

 ability to follow written and verbal instructions. proficiency with hand tools and basic machinery. ability to read technical drawings and blueprints. good computer skills and willingness to learn new technologies. ability to lift up to 50 lbs if required.

what we offer

 competitive salary medical and dental coverage employee wellness programs life insurance short- and long-term disability retirement savings plan with company contributions paid time off and holidays educational assistance programs employee discounts and perks

at ingersoll rand, we cultivate a culture of innovation and teamwork. as a global leader in industrial solutions, we seek proactive individuals with a strong work ethic to join our diverse workforce. we empower our employees to take initiative and drive their careers forward within an inclusive environment. visit us at www.irco.com for more information.

ingersoll rand is dedicated to creating a diverse and inclusive workforce that reflects the communities we serve. we are an equal opportunity employer and encourage applications from all qualified individuals, regardless of age, race, gender, disability, or any other characteristic protected by law.","sidney, oh",3175.0,5.0,,full_time,45365,39149,Sidney,OH
3902843829,brightfuture,training and development coordinator,"ignite your passion for learning! 

at brightfuture, we are dedicated to creating a world where individuals with developmental challenges can flourish. our mission is to deliver innovative services that empower our clients to reach their highest potential.

the training and development coordinator will collaborate with various departments to design, implement, and assess targeted training programs. this role will also involve updating training materials to ensure compliance with organizational standards and regulatory guidelines. we employ proven learning strategies to enhance the skills of our diverse workforce.

 requirements: 

 bachelor’s degree in education, human resources, or a related field.  2+ years of experience in training or instructional design, preferably in the developmental disabilities sector.  proficiency in ms office (excel, word, power point, teams, outlook).  familiarity with adult learning theories and instructional design principles.  strong communication and interpersonal skills to engage with staff at all levels.  must be adaptable and able to work in a fast-paced environment.  capacity to travel occasionally (up to 15%).  ability to work flexible hours, including some evenings.  this position can be performed remotely while residing in one of our operational states: wisconsin, california, or oregon.

 benefits: 

we prioritize your well-being and offer a comprehensive benefits package:

 health benefits: medical, dental, and vision plans effective after 30 days of employment.  financial benefits: 401(k) plan with company match, health savings account, and life insurance.  work/life balance: generous paid time off, professional development funding, and flexible pay options. 

 responsibilities: 

 collaborate with department heads to identify training needs and develop relevant curriculum.  create and maintain training materials, including manuals and online resources.  evaluate training effectiveness and make necessary adjustments to enhance learning outcomes.  ensure all training programs align with regulatory requirements and best practices.  oversee training records and compliance documentation within our learning management system.  work closely with cross-functional teams to support continuous improvement initiatives.

 join our team and help us make a positive impact in the lives of those we serve! apply today to start your journey with us. 

blc456

apply now","wisconsin, united states",77982542.1,5.0,"training, development, instructional design",full_time,53201,55079,milwaukee,WI
3903449029,long island environmental council,director of marine conservation,"position summary

the director of marine conservation will lead initiatives aimed at protecting and restoring marine ecosystems along the long island coast. this role involves collaboration with local governments, stakeholders, and community organizations to enhance marine habitats, promote sustainable practices, and educate the public on marine conservation issues. the position is based in huntington, ny.

compensation

$90,000-$100,000 / year

additional job description

essential functions

lead marine habitat restoration projects, focusing on critical areas affected by pollution and climate change. develop partnerships with local fishermen and conservation groups to promote sustainable fishing practices. oversee educational programs aimed at community engagement and awareness on marine issues. manage project budgets, funding applications, and report on progress to stakeholders. collaborate with state and federal agencies to advocate for marine policy reforms that benefit coastal ecosystems. represent the organization in public forums and at conferences to raise awareness about marine conservation. supervise a team of conservation specialists and interns, providing guidance and support on various projects. engage in outreach efforts to connect with diverse communities and foster collaboration on marine conservation efforts. contribute to research and reports that inform policy decisions and support conservation goals. participate in strategic planning efforts to advance the organization's mission and objectives. 
qualifications and experience

master’s degree in marine biology, environmental science, or related field with a minimum of five years of relevant experience. familiarity with marine ecosystems and conservation practices is essential. proven experience in project management and budget oversight. strong communication skills are required, including public speaking and written communication. ability to work independently and collaboratively in team settings. a passion for marine conservation and community engagement is essential. 

eeo statement

the long island environmental council is committed to creating a diverse environment and is proud to be an equal opportunity employer. all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, disability, or veteran status.","huntington, ny",20923.0,8.0,,full_time,11743,36003,Huntington,NY
3916549873,techsolutions,senior software security analyst,"we are seeking a senior software security analyst to join our team. the role involves assessing and enhancing the security of our software products. you will:
conduct thorough security assessments of software applications, identify vulnerabilities, and recommend remediation strategies.collaborate with development teams to implement security best practices and ensure compliance with industry standards.perform static and dynamic code analysis, leveraging advanced tools to uncover potential risks.develop and maintain security documentation and provide training to staff on secure coding practices.
your experience:
a bachelor’s degree in information technology, computer science, or a related field.extensive knowledge of application security principles and practices.proficiency in programming languages such as java, c#, or python.experience with security testing tools (e.g., burp suite, fortify).strong analytical skills and attention to detail.
preferred qualifications & experience:certified information systems security professional (cissp) or related certification.experience with cloud security frameworks and secure cloud architecture.knowledge of regulatory compliance standards (e.g., gdpr, hipaa).","boise, id",25896347.0,5.0,"application security, vulnerability assessment, coding best practices",full_time,83703,16001,Boise,ID
3904956206,techinnovate solutions,IT asset and procurement coordinator,"qualifications:• exceptional analytical, organizational, and communication skills with the ability to prioritize tasks effectively. • thorough understanding of procurement processes and asset management frameworks. • proficiency in using IT asset management tools like ServiceNow and SAP Ariba.
responsibilities:• assist in the training and onboarding of staff in asset management software to ensure compliance with established policies and procedures. • update and verify information regarding IT assets, collaborating with department heads to confirm data accuracy on a quarterly basis. • generate performance reports about technology resources and their utilization. • contribute to ongoing asset management projects and initiatives.","new york, ny",40456.0,75.0,"procurement, asset management, communication",full-time,10002,36061,New York,NY
